### Module positions - created on 2026-01-22 19:35
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
REF**         MountingHole_3.2m.. MountingHole_3.2mm_M3_DIN96.. 207.2500   -102.2500  207.2500   -102.2500     0.0    top       VIRTUAL
REF**         MountingHole_3.2m.. MountingHole_3.2mm_M3_DIN96.. 176.7500   -71.7500   176.7500   -71.7500      0.0    top       VIRTUAL
REF**         MountingHole_3.2m.. MountingHole_3.2mm_M3_DIN96.. 176.7500   -102.2500  176.7500   -102.2500     0.0    top       VIRTUAL
REF**         MountingHole_3.2m.. MountingHole_3.2mm_M3_DIN96.. 207.2500   -71.7500   207.2500   -71.7500      0.0    top       VIRTUAL
Y2            27Mhz               Crystal_SMD_3225-4Pin_3.2x2.. 98.5200    -110.5300  97.4200    -111.3800     0.0    top       SMD
Y1            8Mhz                Crystal_SMD_3225-4Pin_3.2x2.. 125.6200   -65.5800   124.5200   -66.4300      0.0    top       SMD
U9            AT7456E             TSSOP-28_L9.7-W4.4-P0.65-LS.. 101.5450   -103.8600  97.3150    -106.7300     0.0    top       SMD
U8            W25Q128JVE          WSON-8-1EP_8x6mm_P1.27mm_EP.. 112.2750   -103.4000  108.5250   -101.4950     0.0    top       SMD
U7            QMC5883L            LGA-16_L3.0-W3.0-P0.50-BL_SQ  123.2800   -108.1500  122.5300   -109.4100     0.0    top       SMD
U6            MPU-6050            InvenSense_QFN-24_4x4mm_P0... 120.3000   -102.8000  118.3500   -101.5500     0.0    top       SMD
U5            SPL06-001           SENSOR-SMD_SPL06-001          123.0200   -112.2800  124.0000   -113.0000     0.0    top       SMD
U4            RT9193-33           SOT-23-5                      130.8200   -65.7050   129.6825   -64.7550      0.0    top       SMD
U3            SY8303AIC           TSOT-23-8                     106.5600   -79.9800   105.4225   -79.0050      0.0    top       SMD
U2            SY8303AIC           TSOT-23-8                     106.5600   -75.3750   105.4225   -74.4000      0.0    top       SMD
U1            STM32F405RGTx       LQFP-64_10x10mm_P0.5mm        121.3700   -75.2800   115.6950   -71.5300      0.0    top       SMD
SW1           SW_Push             SW-SMD_L4.0-W2.9-LS5.0        110.0500   -67.5400   108.0100   -67.5400      0.0    top       SMD
R25           1kΩ                 R_0603                        112.3200   -98.3650   111.5700   -98.3650      0.0    top       SMD
R24           10kΩ                R_0603                        112.3200   -95.8450   111.5700   -95.8450      0.0    top       SMD
R23           10kΩ                R_0603                        112.3200   -93.3250   111.5700   -93.3250      0.0    top       SMD
R22           1kΩ                 R_0603                        112.3200   -90.8050   111.5700   -90.8050      0.0    top       SMD
R21           1kΩ                 R_0603                        112.3200   -88.2850   111.5700   -88.2850      0.0    top       SMD
R20           10KΩ                R_0603                        112.3200   -85.7650   111.5700   -85.7650      0.0    top       SMD
R19           75Ω                 R_0603                        108.6700   -98.3650   107.9200   -98.3650      0.0    top       SMD
R18           4.7kΩ               R_0603                        108.6700   -95.8450   107.9200   -95.8450      0.0    top       SMD
R17           4.7kΩ               R_0603                        108.6700   -93.3250   107.9200   -93.3250      0.0    top       SMD
R16           1kΩ                 R_0603                        108.6700   -90.8050   107.9200   -90.8050      0.0    top       SMD
R15           4.7kΩ               R_0603                        108.6700   -88.2850   107.9200   -88.2850      0.0    top       SMD
R14           4.7kΩ               R_0603                        108.6700   -85.7650   107.9200   -85.7650      0.0    top       SMD
R13           5.1k                R_0603                        112.3200   -59.0850   111.5700   -59.0850      0.0    top       SMD
R12           5.1k                R_0603                        112.3200   -56.5650   111.5700   -56.5650      0.0    top       SMD
R11           10k                 R_0603                        112.3200   -54.0450   111.5700   -54.0450      0.0    top       SMD
R10           15kΩ                R_0603                        112.3200   -51.5250   111.5700   -51.5250      0.0    top       SMD
R9            4kΩ                 R_0603                        112.3200   -49.0050   111.5700   -49.0050      0.0    top       SMD
R8            56kΩ                R_0603                        112.3200   -46.4850   111.5700   -46.4850      0.0    top       SMD
R7            110k                R_0603                        108.6700   -64.1250   107.9200   -64.1250      0.0    top       SMD
R6            15kΩ                R_0603                        108.6700   -61.6050   107.9200   -61.6050      0.0    top       SMD
R5            15kΩ                R_0603                        108.6700   -59.0850   107.9200   -59.0850      0.0    top       SMD
R4            10k                 R_0603                        108.6700   -56.5650   107.9200   -56.5650      0.0    top       SMD
R3            10k                 R_0603                        108.6700   -54.0450   107.9200   -54.0450      0.0    top       SMD
R2            10k                 R_0603                        108.6700   -51.5250   107.9200   -51.5250      0.0    top       SMD
R1            10k                 R_0603                        108.6700   -49.0050   107.9200   -49.0050      0.0    top       SMD
Q1            SS8050              SOT-23                        103.6000   -110.4800  102.6625   -109.5300     0.0    top       SMD
L4            600R/2A             L_0805_2012Metric_Pad1.05x1.. 111.5900   -77.1200   110.4400   -77.1200      0.0    top       SMD
L3            300R/1A             L_0805_2012Metric_Pad1.05x1.. 111.5900   -74.3700   110.4400   -74.3700      0.0    top       SMD
L2            4.7uH               L_Bourns-SRN4018              131.6500   -76.3800   130.1250   -76.3800      0.0    top       SMD
L1            6.8uH               L_Bourns-SRN4018              131.6500   -70.8300   130.1250   -70.8300      0.0    top       SMD
J6            VTX                 JST_SH_SM06B-SRSS-TB_1x06-1.. 101.3200   -69.1900   98.8200    -67.1900      0.0    top       SMD
J5            UART4               JST_SH_SM04B-SRSS-TB_1x04-1.. 118.5700   -64.2500   117.0700   -62.2500      0.0    top       SMD
J4            4-in-1 ESC          JST_SH_SM08B-SRSS-TB_1x08-1.. 129.4200   -59.5000   125.9200   -57.5000      0.0    top       SMD
J3            USART1              JST_SH_SM04B-SRSS-TB_1x04-1.. 118.5700   -56.6400   117.0700   -54.6400      0.0    top       SMD
J2            GPS                 JST_SH_SM04B-SRSS-TB_1x04-1.. 118.5700   -49.0300   117.0700   -47.0300      0.0    top       SMD
J1            USB_C_Receptacle_.. USB_C_Receptacle_HRO_TYPE-C.. 128.8400   -51.0200   0.0000     0.0000        0.0    top       SMD
D7            1N4148              D_DO-35_SOD27_P7.62mm_Horiz.. 115.7200   -96.8300   115.7200   -96.8300      0.0    top       THD
D6            LED_0603            LED_0603                      119.1750   -109.4550  118.4250   -109.4550     0.0    top       SMD
D5            LED_0603            LED_0603                      119.1750   -107.1350  118.4250   -107.1350     0.0    top       SMD
